Source: ACS 5-Year Estimates - Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: default universe (usually US)"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes","Total","Male","Female"
"CLN-Janitors And Building Cleaners","3407729","2259165","1148564"
"CLN-Pest Control Workers","92840","87480","5360"
"CLN-Landscaping And Groundskeeping Workers","1671158","1554911","116247"
"CLN-Tree Trimmers And Pruners","117537","112680","4857"
"CLN-Other Grounds Maintenance Workers","81449","71961","9488"
"PRS-Supervisors of Personal Care And Service Workers","132043","50518","81525"
"PRS-Animal Trainers","55485","23198","32287"
"PRS-Animal Caretakers","331983","84198","247785"
"PRS-Gambling Services Workers","126588","67990","58598"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","77586","42690","34896"
"PRS-Other Entertainment Attendants And Related Workers","340657","198352","142305"
"PRS-Morticians, Undertakers, And Funeral Arrangers","44928","33140","11788"
"PRS-Embalmers, Crematory Operators, And Funeral Attendants","23776","17752","6024"
"PRS-Barbers","134342","107186","27156"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","1016198","86705","929493"
"PRS-Manicurists and Pedicurists","287024","50121","236903"
"PRS-Skincare Specialists","70959","679","70280"
"PRS-Other Personal Appearance Workers","33063","3638","29425"
"PRS-Baggage Porters, Bellhops, And Concierges","107986","80051","27935"
"PRS-Tour And Travel Guides","92199","49647","42552"
"PRS-Childcare Workers","1872453","127284","1745169"
"PRS-Exercise Trainers And Group Fitness Instructors","303366","109503","193863"
"PRS-Recreation Workers","355537","136367","219170"
"PRS-Residential Advisors","100236","40436","59800"
"PRS-Personal Care And Service Workers, All Other","207216","86498","120718"
"SAL-First-Line Supervisors Of Retail Sales Workers","3624768","1905854","1718914"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","1416130","971964","444166"
"SAL-Cashiers","4856601","1242072","3614529"
"SAL-Counter And Rental Clerks","116679","57732","58947"
"SAL-Parts Salespersons","128864","111164","17700"
"SAL-Retail Salespersons","4574452","2120640","2453812"
"SAL-Advertising Sales Agents","203556","96888","106668"
"SAL-Insurance Sales Agents","647478","334036","313442"
"SAL-Securities, Commodities, And Financial Services Sales Agents","275672","190983","84689"
"SAL-Travel Agents","88202","16576","71626"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","776620","511110","265510"
"SAL-Sales Representatives, Wholesale And Manufacturing","1584715","1122378","462337"
"SAL-Models, Demonstrators, And Product Promoters","98979","27561","71418"
"SAL-Real Estate Brokers And Sales Agents","1032737","443864","588873"
"SAL-Sales Engineers","40514","37306","3208"
"SAL-Telemarketers","118720","43820","74900"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","202891","80529","122362"
"SAL-Sales And Related Workers, All Other","356588","177708","178880"
"Off-First-Line Supervisors Of Office And Administrative Support Workers","1613775","603264","1010511"
"OFF-Switchboard Operators, Including Answering Service","34868","5801","29067"
"OFF-Telephone Operators","51852","12955","38897"
"OFF-Communications Equipment Operators, All Other","37901","28005","9896"
"OFF-Bill And Account Collectors","196739","58513","138226"
"OFF-Billing And Posting Clerks","589991","66952","523039"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","1493758","194720","1299038"
"OFF-Payroll And Timekeeping Clerks","190796","22975","167821"
"OFF-Procurement Clerks","42847","18827","24020"
"OFF-Tellers","411372","61386","349986"
"OFF-Other Financial Clerks","161363","63704","97659"
"OFF-Court, Municipal, And License Clerks","89060","20011","69049"
"OFF-Credit Authorizers, Checkers, And Clerks","50692","13738","36954"
"OFF-Customer Service Representatives","3534548","1196815","2337733"
"OFF-Eligibility Interviewers, Government Programs","90437","18978","71459"
"OFF-File Clerks","342186","85107","257079"
"OFF-Hotel, Motel, And Resort Desk Clerks","189609","60450","129159"
"OFF-Interviewers, Except Eligibility And Loan","184606","43615","140991"
"OFF-Library Assistants, Clerical","136503","25924","110579"
"OFF-Loan Interviewers And Clerks","141547","30145","111402"
"OFF-New Accounts Clerks","17216","4505","12711"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","67654","13156","54498"
"OFF-Receptionists And Information Clerks","1558718","167663","1391055"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","156869","63467","93402"
"OFF-Correspondence Clerks And Order Clerks","172360","72034","100326"
"OFF-Other Information And Records Clerks","165857","41687","124170"
"OFF-Cargo And Freight Agents","25252","17162","8090"
"OFF-Couriers And Messengers","293687","238071","55616"
"OFF-Public Safety Telecommunicators","100759","31049","69710"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","237288","115980","121308"
"OFF-Meter Readers, Utilities","31340","26107","5233"
"OFF-Postal Service Clerks","146558","67496","79062"
"OFF-Postal Service Mail Carriers","393575","237977","155598"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","85833","42196","43637"
"OFF-Production, Planning, And Expediting Clerks","397175","166031","231144"
"OFF-Shipping, Receiving, And Traffic Clerks","737907","503835","234072"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","105950","54295","51655"
"OFF-Executive Secretaries And Executive Administrative Assistants","271324","17799","253525"
"OFF-Legal Secretaries And Administrative Assistants","113790","6146","107644"
"OFF-Medical Secretaries And Administrative Assistants","136687","6651","130036"
"OFF-Secretaries And Administrative, Except Legal, Medical, And Executive","3537077","188134","3348943"
"OFF-Data Entry Keyers","444042","106269","337773"
"OFF-Word Processors And Typists","402028","62267","339761"
"OFF-Insurance Claims And Policy Processing Clerks","407282","80206","327076"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","104552","49726","54826"
"OFF-Office Clerks, General","1766654","335040","1431614"
"OFF-Office Machine Operators, Except Computer","49114","18608","30506"
"OFF-Proofreaders And Copy Markers","16079","4421","11658"
"OFF-Statistical Assistants","28806","13035","15771"
"OFF-Other Office And Administrative Support Workers","717297","174980","542317"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","72620","61101","11519"
"FFF-Agricultural Inspectors","17856","10212","7644"
"FFF-Graders And Sorters, Agricultural Products","90269","26581","63688"
"FFF-Other Agricultural Workers","1174331","855199","319132"
"FFF-Fishing And Hunting Workers","58900","54068","4832"
"FFF-Forest And Conservation Workers","22645","18891","3754"
"FFF-Logging Workers","79046","77079","1967"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","935515","902122","33393"
"CON-Boilermakers","21875","21364","511"
"CON-Carpenters","1524695","1490115","34580"
"CON-Carpet, Floor, And Tile Installers And Finishers","188291","182305","5986"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","76750","75903","847"
"CON-Construction Laborers","2399335","2314831","84504"
"CON-Construction Equipment Operators","447167","435808","11359"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","182159","176830","5329"
"CON-Electricians","945186","921752","23434"
"CON-Glaziers","48545","47381","1164"
"CON-Insulation Workers","53208","50699","2509"
"CON-Painters And Paperhangers","757903","697111","60792"
"CON-Pipelayers","63682","62463","1219"
"CON-Plumbers, Pipefitters, And Steamfitters","605547","595590","9957"
"CON-Plasterers And Stucco Masons","35527","35200","327"
"CON-Roofers","282387","278161","4226"
"CON-Sheet Metal Workers","151357","143911","7446"
"CON-Structural Iron And Steel Workers","74952","72635","2317"
"CON-Solar Photovoltaic Installers","17451","16771","680"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","191147","189259","1888"
"CON-Helpers, Construction Trades","61618","57867","3751"
"CON-Construction And Building Inspectors","113575","100362","13213"
"CON-Elevator Installers And Repairers","26716","26338","378"
"CON-Fence Erectors","38493","37460","1033"
"CON-Hazardous Materials Removal Workers","40948","33107","7841"
"CON-Highway Maintenance Workers","124591","120308","4283"
"CON-Rail-Track Laying And Maintenance Equipment Operators","13259","13076","183"
"CON-Other Construction And Related Workers","65474","62689","2785"
"EXT_Surface Mining Machine Operators And Earth Drillers","46073","45460","613"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","22387","20180","2207"
"EXT-Underground Mining Machine Operators","58409","57080","1329"
"EXT-Other Extraction Workers","103890","100478","3412"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining","48122","47223","899"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","321844","299640","22204"
"RPR-Computer, Automated Teller, And Office Machine Repairers","224782","199712","25070"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","198530","177053","21477"
